Time,ped_n,ped_e,ego_n,ego_e,Velocity,ObjectAbsVel,flag,left_e,left_n,right_e,right_n
1626235543405.0,711.74609375,236.67218017578125,682.8964233398438,215.3995361328125,0.0,0.0019413126211023824,26.0,215.3995361328125,682.8964233398438,215.3995361328125,682.8964233398438
1626235543501.0,711.74609375,236.67221069335938,682.895751953125,215.4014892578125,0.0,0.002877740292905888,26.0,215.4014892578125,682.895751953125,215.4014892578125,682.895751953125
1626235543601.0,711.74609375,236.67221069335938,682.8956909179688,215.4016265869141,0.0,0.001667857444098972,26.0,215.4016265869141,682.8956909179688,215.4016265869141,682.8956909179688
1626235543723.0,711.74609375,236.67218017578125,682.89794921875,215.4022674560547,0.0,0.0005314262781933606,26.0,215.4022674560547,682.89794921875,215.4022674560547,682.89794921875
1626235543822.0,711.74609375,236.67218017578125,682.8978881835938,215.4023742675781,0.0,0.0013994787826277692,26.0,215.4023742675781,682.8978881835938,215.4023742675781,682.8978881835938
1626235543906.0,711.74609375,236.67222595214844,682.897216796875,215.40032958984366,0.0,0.002009606177841052,26.0,215.40032958984366,682.897216796875,215.40032958984366,682.897216796875
1626235544007.0,711.74609375,236.6721954345703,682.8953247070312,215.40289306640625,0.0,0.002580361890774618,26.0,215.40289306640625,682.8953247070312,215.40289306640625,682.8953247070312
1626235544108.0,711.74609375,236.6721649169922,682.8964233398438,215.4025115966797,0.0,0.0013636379729441398,26.0,215.4025115966797,682.8964233398438,215.4025115966797,682.8964233398438
1626235544208.0,711.74609375,236.6721649169922,682.8963623046875,215.40264892578125,0.0,0.001112440526672276,26.0,215.40264892578125,682.8963623046875,215.40264892578125,682.8963623046875
1626235544307.0,711.74609375,236.67222595214844,682.8955688476562,215.40164184570312,0.0,0.002445398445461977,26.0,215.40164184570312,682.8955688476562,215.40164184570312,682.8955688476562
1626235544402.0,711.7449340820312,236.6734771728516,682.893798828125,215.40370178222656,0.0,0.0015687572612388446,26.0,215.40370178222656,682.893798828125,215.40370178222656,682.893798828125
1626235544525.0,711.744873046875,236.6735076904297,682.8984375,215.4054718017578,0.0,0.0016642340469954016,26.0,215.4054718017578,682.8984375,215.4054718017578,682.8984375
1626235544621.0,711.7460327148438,236.6722412109375,682.896484375,215.404052734375,0.0,0.0017053542340474293,26.0,215.404052734375,682.896484375,215.404052734375,682.896484375
1626235544707.0,711.7449340820312,236.6735076904297,682.8939208984375,215.4043426513672,0.0,7.518989945708603e-05,26.0,215.4043426513672,682.8939208984375,215.4043426513672,682.8939208984375
1626235544808.0,711.74609375,236.6721954345703,682.898193359375,215.40419006347656,0.0,0.00028877080237859124,26.0,215.40419006347656,682.898193359375,215.40419006347656,682.898193359375
1626235544909.0,711.74609375,236.67222595214844,682.8960571289062,215.4055938720703,0.0,0.0012525098667904044,26.0,215.4055938720703,682.8960571289062,215.4055938720703,682.8960571289062
1626235545006.0,711.74609375,236.67222595214844,682.8959350585938,215.40573120117188,0.0,0.0011961219104062984,26.0,215.40573120117188,682.8959350585938,215.40573120117188,682.8959350585938
1626235545105.0,711.74609375,236.67222595214844,682.8958740234375,215.4058837890625,0.0,0.0005946427987421068,26.0,215.4058837890625,682.8958740234375,215.4058837890625,682.8958740234375
1626235545222.0,711.74609375,236.67222595214844,682.8999633789062,215.4062957763672,0.0,0.00022040620706924023,26.0,215.4062957763672,682.8999633789062,215.4062957763672,682.8999633789062
1626235545300.0,711.74609375,236.67218017578125,682.8922729492188,215.40411376953125,0.0,0.0008800999569191977,26.0,215.40411376953125,682.8922729492188,215.40411376953125,682.8922729492188
1626235545404.0,711.7461547851562,236.67214965820312,682.8920288085938,215.4066619873047,0.0,0.001626843366375523,26.0,215.4066619873047,682.8920288085938,215.4066619873047,682.8920288085938
1626241225486.0,26.194698333740234,1.8038178682327268,-52.64388656616211,27.49693489074707,2.5848765432098766,5.188450256889344,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241225586.0,26.02260589599609,3.6018104553222656,-53.58230972290039,27.56797981262207,2.5964506172839505,4.788481639981367,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241225684.0,25.639848709106445,3.5693838596343994,-54.511146545410156,27.63364601135254,2.5964506172839505,4.869665514504933,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241225783.0,25.25709724426269,3.5369558334350586,-55.46088027954102,27.704381942749023,2.628858024691358,4.950007580590403,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241225901.0,24.87434005737305,3.5045287609100337,-56.50336456298828,27.78076934814453,2.6396604938271606,5.031991926605672,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241226000.0,24.491588592529297,3.472100257873535,-57.37068557739258,27.84320068359375,2.6527777777777777,3.669116144264896,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241226090.0,24.365703582763672,2.8555591106414795,-58.28761291503906,27.911794662475586,2.6720679012345685,3.7781426400448614,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241226187.0,24.23981666564941,2.239018440246582,-59.285362243652344,27.99031066894531,2.6820987654320985,1.1237214921801746,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241226285.0,24.215503692626953,2.0502605438232417,-60.2576789855957,28.057844161987305,2.692901234567901,1.421725368492074,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241226385.0,24.191198348999023,1.8615009784698489,-61.23683547973633,28.137561798095703,2.709876543209876,1.5745437067090888,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
